Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Vehicle_Type
200720D017001,Slight,10-01-2019,52.491418,Daylight,Birmingham,-1.858724,1,1,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D017203,Slight,10-01-2019,52.487654,Darkness - lights lit,Birmingham,-1.803951,1,1,Wet or damp,Single carriageway,Urban,Car
200720D017303,Slight,11-01-2019,52.501718,Darkness - lights lit,Birmingham,-1.829227,2,2,Wet or damp,Dual carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D017403,Slight,10-01-2019,52.506163,Daylight,Birmingham,-1.797534,1,1,Dry,Dual carriageway,Rural,Car
200720D017503,Slight,18-01-2019,52.469975,Daylight,Birmingham,-1.823903,1,2,Wet or damp,Single carriageway,Urban,Car
200720D017903,Slight,17-01-2019,52.473901,Daylight,Birmingham,-1.870852,2,2,Wet or damp,Single carriageway,Urban,Car
200720D018003,Slight,11-01-2019,52.473456,Daylight,Birmingham,-1.874681,1,2,Dry,Roundabout,Urban,Car
200720D018103,Slight,08-01-2019,52.473614,Daylight,Birmingham,-1.855247,1,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720D018403,Slight,07-01-2019,52.468504,Daylight,Birmingham,-1.868218,1,2,Wet or damp,Single carriageway,Urban,Car
200720D018701,Slight,16-01-2019,52.492152,Daylight,Birmingham,-1.871535,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D019303,Slight,11-01-2019,52.473833,Daylight,Birmingham,-1.818588,1,2,Dry,Single carriageway,Urban,Car
200720D021103,Slight,19-01-2019,52.500271,Darkness - lights lit,Birmingham,-1.771045,1,1,Wet or damp,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D021303,Slight,18-01-2019,52.477741,Daylight,Birmingham,-1.848755,2,2,Dry,Single carriageway,Urban,Motorcycle 125cc and under
200720D021603,Slight,07-01-2019,52.464809,Daylight,Birmingham,-1.859692,2,2,Wet or damp,Roundabout,Urban,Taxi/Private hire car
200720D022201,Slight,17-01-2019,52.489284,Daylight,Birmingham,-1.879643,1,2,Dry,Dual carriageway,Urban,Car
200720D022301,Slight,23-01-2019,52.50928,Daylight,Birmingham,-1.836565,1,1,Dry,Dual carriageway,Urban,Taxi/Private hire car
200720D022702,Slight,05-01-2019,52.558801,Daylight,Birmingham,-1.826645,1,2,Wet or damp,Single carriageway,Urban,Car
200720D023703,Slight,17-01-2019,52.476782,Daylight,Birmingham,-1.807386,1,2,Wet or damp,Single carriageway,Urban,Car
200720D023803,Slight,22-01-2019,52.48224,Daylight,Birmingham,-1.851685,1,1,Wet or damp,Single carriageway,Urban,Motorcycle 125cc and under
200720D024401,Slight,17-01-2019,52.487982,Darkness - lights lit,Birmingham,-1.842388,1,1,Wet or damp,Single carriageway,Urban,Car
200720D024501,Slight,02-01-2019,52.524362,Daylight,Birmingham,-1.896793,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D024601,Slight,20-01-2019,52.493001,Darkness - lights lit,Birmingham,-1.831765,1,1,Dry,Single carriageway,Urban,Car
200720D024801,Slight,11-01-2019,52.518968,Darkness - lights lit,Birmingham,-1.897395,2,2,Dry,Dual carriageway,Urban,Car
200720D025402,Slight,02-01-2019,52.536259,Daylight,Birmingham,-1.785453,1,2,Dry,Roundabout,Urban,Car
200720D026301,Slight,10-01-2019,52.516346,Daylight,Birmingham,-1.811929,1,1,Wet or damp,Dual carriageway,Urban,Goods over 3.5t. and under 7.5t
200720D026401,Slight,20-01-2019,52.495702,Darkness - lights lit,Birmingham,-1.834553,1,2,Dry,Single carriageway,Urban,Car
200720D026703,Slight,17-01-2019,52.464898,Daylight,Birmingham,-1.858956,1,2,Dry,Single carriageway,Urban,Taxi/Private hire car
200720D027102,Slight,12-01-2019,52.572096,Daylight,Birmingham,-1.819806,1,2,Dry,Single carriageway,Urban,Car
200720D027703,Slight,17-01-2019,52.464179,Daylight,Birmingham,-1.859547,1,2,Dry,Single carriageway,Urban,Car
200720D027902,Slight,11-01-2019,52.541988,Daylight,Birmingham,-1.825385,1,2,Wet or damp,Single carriageway,Urban,Car
200720D028301,Slight,26-01-2019,52.502148,Darkness - lights lit,Birmingham,-1.887564,3,2,Dry,Single carriageway,Urban,Car
200720D028402,Slight,12-01-2019,52.546775,Darkness - lights lit,Birmingham,-1.840702,1,2,Dry,Single carriageway,Urban,Car
200720D028701,Slight,26-01-2019,52.485898,Daylight,Birmingham,-1.830614,1,1,Dry,Single carriageway,Urban,Car
200720D028802,Slight,13-01-2019,52.543044,Daylight,Birmingham,-1.878759,1,1,Dry,Slip road,Urban,Car
200720D028901,Slight,16-01-2019,52.484966,Darkness - lights lit,Birmingham,-1.877005,1,2,Wet or damp,Single carriageway,Urban,Car
200720D029102,Slight,14-01-2019,52.576574,Darkness - lights lit,Birmingham,-1.808867,4,2,Dry,Single carriageway,Urban,Car
200720D029403,Slight,18-01-2019,52.489227,Darkness - lights lit,Birmingham,-1.778024,1,2,Wet or damp,Single carriageway,Rural,Motorcycle 50cc and under
200720D029601,Slight,26-01-2019,52.497486,Darkness - lights lit,Birmingham,-1.824677,3,2,Dry,Dual carriageway,Urban,Car
200720D029703,Slight,23-01-2019,52.473275,Daylight,Birmingham,-1.806812,1,2,Dry,Single carriageway,Urban,Taxi/Private hire car
200720D029803,Slight,25-01-2019,52.505648,Darkness - lights lit,Birmingham,-1.812122,1,2,Snow,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D030002,Slight,15-01-2019,52.5641,Daylight,Birmingham,-1.822936,2,1,Dry,Single carriageway,Urban,Car
200720D030501,Serious,27-01-2019,52.509371,Daylight,Birmingham,-1.837154,1,3,Wet or damp,Single carriageway,Urban,Car
200720D030603,Slight,20-01-2019,52.466448,Daylight,Birmingham,-1.810522,1,2,Dry,Roundabout,Urban,Car
200720D030701,Slight,27-01-2019,52.492855,Darkness - lights lit,Birmingham,-1.857541,1,1,Dry,Single carriageway,Urban,Car
200720D030803,Slight,20-01-2019,52.463972,Darkness - lights lit,Birmingham,-1.837763,3,4,Wet or damp,Dual carriageway,Urban,Car
200720D031001,Slight,24-01-2019,52.514674,Daylight,Birmingham,-1.83625,1,3,Wet or damp,Dual carriageway,Urban,Car
200720D031101,Slight,30-01-2019,52.489653,Daylight,Birmingham,-1.88951,4,2,Dry,Single carriageway,Urban,Other vehicle
200720D032201,Slight,29-01-2019,52.530483,Daylight,Birmingham,-1.82661,2,2,Dry,Single carriageway,Urban,Car
200720D032401,Slight,30-01-2019,52.517187,Daylight,Birmingham,-1.832999,1,2,Dry,Single carriageway,Urban,Car
200720D032601,Slight,25-01-2019,52.493861,Daylight,Birmingham,-1.871825,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D032702,Serious,15-01-2019,52.5283,Darkness - lights lit,Birmingham,-1.878652,1,2,Wet or damp,Single carriageway,Urban,Car
200720D032802,Slight,15-01-2019,52.53569,Darkness - lights lit,Birmingham,-1.897356,1,2,Wet or damp,Single carriageway,Urban,Car
200720D033102,Slight,16-01-2019,52.549631,Darkness - lights lit,Birmingham,-1.905877,2,2,Dry,Single carriageway,Urban,Car
200720D033802,Slight,16-01-2019,52.531099,Darkness - lights lit,Birmingham,-1.89088,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D034401,Slight,02-02-2019,52.520562,Darkness - lights lit,Birmingham,-1.872631,1,2,Dry,Single carriageway,Urban,Taxi/Private hire car
200720D034502,Slight,16-01-2019,52.579618,Daylight,Birmingham,-1.80118,1,3,Wet or damp,Single carriageway,Rural,Car
200720D034702,Slight,16-01-2019,52.544595,Darkness - lights lit,Birmingham,-1.903381,1,2,Wet or damp,Single carriageway,Urban,Car
200720D034802,Slight,21-01-2019,52.528586,Darkness - lights lit,Birmingham,-1.896046,1,2,Dry,Dual carriageway,Urban,Goods over 3.5t. and under 7.5t
200720D035002,Slight,21-01-2019,52.519812,Daylight,Birmingham,-1.788186,1,2,Dry,Single carriageway,Urban,Taxi/Private hire car
200720D036001,Serious,02-02-2019,52.516987,Daylight,Birmingham,-1.819442,1,1,Dry,Dual carriageway,Urban,Car
200720D036103,Slight,23-01-2019,52.47896,Daylight,Birmingham,-1.820628,2,4,Dry,Dual carriageway,Urban,Car
200720D036201,Slight,01-02-2019,52.493905,Daylight,Birmingham,-1.834707,1,1,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D036301,Slight,03-02-2019,52.492685,Darkness - lights lit,Birmingham,-1.865347,1,2,Dry,Single carriageway,Urban,Car
200720D036502,Serious,29-01-2019,52.563421,Daylight,Birmingham,-1.792107,2,2,Dry,Single carriageway,Urban,Car
200720D036601,Slight,04-02-2019,52.492757,Daylight,Birmingham,-1.850618,1,1,Dry,Single carriageway,Urban,Car
200720D036703,Slight,25-01-2019,52.496063,Daylight,Birmingham,-1.780052,1,3,Frost or ice,Single carriageway,Urban,Car
200720D036802,Serious,25-01-2019,52.561304,Daylight,Birmingham,-1.817195,1,1,Dry,Single carriageway,Urban,Car
200720D037503,Slight,28-01-2019,52.476277,Darkness - lights lit,Birmingham,-1.830062,1,2,Dry,Single carriageway,Urban,Car
200720D037803,Slight,22-01-2019,52.472648,Darkness - lights lit,Birmingham,-1.875272,1,2,Dry,Roundabout,Urban,Car
200720D038003,Slight,20-01-2019,52.508228,Darkness - lights lit,Birmingham,-1.795756,1,2,Dry,Dual carriageway,Rural,Goods 7.5 tonnes mgw and over
200720D038202,Slight,22-01-2019,52.5308,Daylight,Birmingham,-1.799779,3,2,Dry,Dual carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D038401,Slight,04-02-2019,52.516024,Darkness - lights lit,Birmingham,-1.837277,2,2,Dry,Single carriageway,Urban,Motorcycle 50cc and under
200720D038501,Slight,24-01-2019,52.486832,Daylight,Birmingham,-1.857413,1,1,Dry,Dual carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D038601,Slight,05-02-2019,52.506906,Daylight,Birmingham,-1.881216,1,2,Wet or damp,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D038701,Slight,03-02-2019,52.522358,Daylight,Birmingham,-1.870415,1,1,Frost or ice,Single carriageway,Urban,Car
200720D038801,Slight,06-02-2019,52.48596,Darkness - lights lit,Birmingham,-1.882451,1,2,Dry,Roundabout,Urban,Goods 7.5 tonnes mgw and over
200720D038901,Slight,06-02-2019,52.512124,Daylight,Birmingham,-1.88518,1,1,Wet or damp,Single carriageway,Urban,Car
200720D039103,Slight,01-02-2019,52.48144,Darkness - lights lit,Birmingham,-1.797205,2,2,Wet or damp,Single carriageway,Urban,Car
200720D039203,Slight,29-01-2019,52.479652,Darkness - lights lit,Birmingham,-1.803398,1,2,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D039603,Slight,02-02-2019,52.50079,Daylight,Birmingham,-1.810227,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D039703,Slight,24-01-2019,52.478009,Darkness - lights lit,Birmingham,-1.847282,2,2,Dry,Single carriageway,Urban,Car
200720D039803,Slight,31-01-2019,52.479481,Darkness - lights lit,Birmingham,-1.808699,4,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720D040202,Serious,25-01-2019,52.553207,Darkness - lighting unknown,Birmingham,-1.883303,1,1,Frost or ice,Single carriageway,Urban,Car
200720D040302,Slight,26-01-2019,52.532084,Daylight,Birmingham,-1.886897,2,2,Wet or damp,Dual carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D040703,Slight,30-01-2019,52.474714,Darkness - lights lit,Birmingham,-1.873941,1,1,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D041303,Slight,04-02-2019,52.477693,Darkness - lights lit,Birmingham,-1.815038,1,2,Dry,Single carriageway,Urban,Other vehicle
200720D042003,Slight,01-02-2019,52.467417,Daylight,Birmingham,-1.860861,2,2,Wet or damp,Single carriageway,Urban,Car
200720D042202,Slight,05-01-2019,52.519026,Daylight,Birmingham,-1.801306,1,2,Dry,Roundabout,Urban,Car
200720D042401,Serious,07-02-2019,52.515753,Daylight,Birmingham,-1.836688,1,2,Dry,Single carriageway,Urban,Car
200720D042501,Slight,02-02-2019,52.53067,Darkness - lights lit,Birmingham,-1.832063,1,1,Dry,Single carriageway,Urban,Car
200720D042701,Slight,01-01-2019,52.489651,Darkness - lights lit,Birmingham,-1.81543,1,2,Wet or damp,Single carriageway,Urban,Motorcycle 125cc and under
200720D042801,Slight,08-02-2019,52.513432,Daylight,Birmingham,-1.84878,1,2,Snow,Single carriageway,Urban,Car
200720D042903,Slight,02-02-2019,52.499147,Daylight,Birmingham,-1.795209,1,2,Dry,Single carriageway,Urban,Car
200720D043003,Slight,06-02-2019,52.476933,Darkness - lights lit,Birmingham,-1.790453,1,1,Dry,Slip road,Urban,Car
200720D043202,Serious,26-01-2019,52.58737,Daylight,Birmingham,-1.813544,3,2,Wet or damp,Single carriageway,Urban,Motorcycle over 500cc
200720D043402,Slight,31-01-2019,52.546452,Darkness - lights lit,Birmingham,-1.870934,1,2,Wet or damp,Single carriageway,Urban,Car
200720D043701,Slight,09-02-2019,52.517007,Daylight,Birmingham,-1.833294,1,2,Snow,Single carriageway,Urban,Car
200720D043902,Slight,31-01-2019,52.556719,Daylight,Birmingham,-1.889342,1,1,Wet or damp,Single carriageway,Urban,Car
200720D044402,Serious,31-01-2019,52.534799,Daylight,Birmingham,-1.827035,1,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720D044802,Slight,31-01-2019,52.560858,Darkness - lights lit,Birmingham,-1.893757,1,1,Dry,Dual carriageway,Urban,Car
200720D045601,Slight,01-02-2019,52.513134,Daylight,Birmingham,-1.828004,1,2,Dry,Dual carriageway,Urban,Car
200720D045701,Slight,28-01-2019,52.514392,Daylight,Birmingham,-1.827704,1,1,Dry,Single carriageway,Urban,Car
200720D046701,Slight,07-02-2019,52.515843,Darkness - lights lit,Birmingham,-1.836393,2,3,Frost or ice,Single carriageway,Urban,Car
200720D046902,Slight,01-02-2019,52.531787,Daylight,Birmingham,-1.751422,1,2,Dry,Dual carriageway,Rural,Car
200720D047103,Slight,02-02-2019,52.472728,Daylight,Birmingham,-1.866292,1,2,Dry,Single carriageway,Urban,Car
200720D047502,Slight,08-02-2019,52.524342,Daylight,Birmingham,-1.808947,1,1,Snow,Dual carriageway,Urban,Car
200720D047603,Slight,07-02-2019,52.451626,Daylight,Birmingham,-1.766882,1,1,Dry,Slip road,Urban,Car
200720D047703,Slight,05-02-2019,52.457845,Daylight,Birmingham,-1.774944,2,2,Wet or damp,Single carriageway,Urban,Car
200720D047903,Slight,02-02-2019,52.472826,Daylight,Birmingham,-1.874094,1,2,Dry,Roundabout,Urban,Car
200720D048001,Serious,13-02-2019,52.48911,Darkness - lights lit,Birmingham,-1.885388,1,3,Wet or damp,Dual carriageway,Urban,Car
200720D048102,Slight,29-01-2019,52.553422,Daylight,Birmingham,-1.780945,1,1,Dry,Single carriageway,Rural,Car
200720D048302,Slight,01-02-2019,52.5229,Daylight,Birmingham,-1.806742,1,2,Dry,Roundabout,Urban,Car
200720D048401,Slight,07-02-2019,52.492516,Daylight,Birmingham,-1.875805,1,1,Wet or damp,Single carriageway,Urban,Car
200720D048502,Slight,01-02-2019,52.5227,Darkness - lights lit,Birmingham,-1.794363,1,2,Dry,Dual carriageway,Urban,Car
200720D048601,Slight,09-02-2019,52.506005,Daylight,Birmingham,-1.87945,1,2,Wet or damp,Single carriageway,Urban,Car
200720D048802,Slight,02-02-2019,52.53935,Darkness - no lighting,Birmingham,-1.870955,1,2,Dry,Dual carriageway,Urban,Motorcycle over 500cc
200720D049001,Slight,13-02-2019,52.498701,Darkness - lights lit,Birmingham,-1.859584,1,2,Wet or damp,Roundabout,Urban,Motorcycle over 500cc
200720D049102,Serious,03-02-2019,52.5351,Daylight,Birmingham,-1.850622,1,2,Dry,Single carriageway,Urban,Car
200720D049201,Slight,11-02-2019,52.522387,Darkness - lights lit,Birmingham,-1.823252,1,2,Wet or damp,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D049301,Slight,02-02-2019,52.513568,Daylight,Birmingham,-1.890924,4,2,Dry,Single carriageway,Urban,Car
200720D049502,Slight,05-02-2019,52.569227,Daylight,Birmingham,-1.824834,2,3,Wet or damp,Single carriageway,Urban,Taxi/Private hire car
200720D050302,Slight,07-02-2019,52.541663,Darkness - lights lit,Birmingham,-1.850158,1,2,Frost or ice,Single carriageway,Urban,Motorcycle over 500cc
200720D050503,Slight,31-01-2019,52.47513,Daylight,Birmingham,-1.845378,1,2,Dry,Single carriageway,Urban,Car
200720D050601,Slight,30-01-2019,52.505031,Darkness - lights lit,Birmingham,-1.894923,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D050903,Slight,12-02-2019,52.491264,Daylight,Birmingham,-1.81233,2,2,Wet or damp,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D051103,Slight,14-02-2019,52.461584,Daylight,Birmingham,-1.804509,2,5,Dry,Single carriageway,Urban,Car
200720D051303,Slight,10-02-2019,52.476048,Daylight,Birmingham,-1.860981,1,2,Wet or damp,Single carriageway,Urban,Motorcycle over 500cc
200720D051603,Serious,13-01-2019,52.464876,Daylight,Birmingham,-1.841734,1,1,Dry,Single carriageway,Urban,Car
200720D052301,Slight,15-02-2019,52.511017,Darkness - lights lit,Birmingham,-1.859103,2,2,Wet or damp,Single carriageway,Urban,Car
200720D052401,Slight,13-02-2019,52.494579,Daylight,Birmingham,-1.871381,1,2,Wet or damp,Single carriageway,Urban,Car
200720D052603,Slight,31-01-2019,52.453106,Daylight,Birmingham,-1.788801,2,2,Dry,Dual carriageway,Urban,Car
200720D053001,Slight,16-02-2019,52.490094,Daylight,Birmingham,-1.880525,1,2,Wet or damp,Single carriageway,Urban,Car
200720D053201,Slight,14-01-2019,52.51834,Darkness - lights lit,Birmingham,-1.822236,3,2,Dry,Single carriageway,Urban,Car
200720D053603,Slight,05-02-2019,52.479684,Darkness - lights lit,Birmingham,-1.823717,2,2,Dry,Single carriageway,Urban,Car
200720D053702,Slight,07-02-2019,52.545097,Daylight,Birmingham,-1.865482,1,1,Dry,Single carriageway,Urban,Car
200720D053801,Slight,18-02-2019,52.52527,Daylight,Birmingham,-1.827515,1,2,Dry,Single carriageway,Urban,Car
200720D053902,Slight,07-02-2019,52.518665,Darkness - lights lit,Birmingham,-1.800571,2,2,Dry,Dual carriageway,Urban,Motorcycle 50cc and under
200720D054002,Slight,08-02-2019,52.560299,Darkness - lighting unknown,Birmingham,-1.873549,1,2,Snow,Single carriageway,Urban,Car
200720D054101,Slight,18-02-2019,52.518836,Daylight,Birmingham,-1.85672,2,2,Dry,Roundabout,Urban,Motorcycle over 500cc
200720D054702,Slight,09-02-2019,52.531333,Daylight,Birmingham,-1.857858,1,2,Snow,Single carriageway,Urban,Car
200720D054802,Slight,10-02-2019,52.555918,Daylight,Birmingham,-1.898931,2,2,Wet or damp,Roundabout,Urban,Car
200720D055203,Slight,18-02-2019,52.465961,Daylight,Birmingham,-1.846293,2,2,Dry,Single carriageway,Urban,Car
200720D055803,Slight,12-02-2019,52.466899,Daylight,Birmingham,-1.811109,2,2,Wet or damp,Single carriageway,Urban,Car
200720D056302,Slight,02-02-2019,52.566594,Daylight,Birmingham,-1.808321,1,2,Dry,Single carriageway,Urban,Car
200720D056402,Slight,11-02-2019,52.533273,Darkness - lights lit,Birmingham,-1.828663,1,2,Dry,Dual carriageway,Urban,Car
200720D056502,Slight,13-02-2019,52.55251,Darkness - lights lit,Birmingham,-1.908083,1,2,Wet or damp,Single carriageway,Urban,Car
200720D056803,Slight,19-02-2019,52.472557,Daylight,Birmingham,-1.874536,2,2,Dry,Roundabout,Urban,Car
200720D056903,Slight,30-01-2019,52.478541,Daylight,Birmingham,-1.841391,1,2,Dry,Single carriageway,Urban,Car
200720D057403,Slight,22-01-2019,52.464898,Daylight,Birmingham,-1.858956,1,2,Dry,Roundabout,Urban,Goods over 3.5t. and under 7.5t
200720D057503,Slight,18-02-2019,52.478275,Darkness - lights lit,Birmingham,-1.844484,1,2,Dry,Single carriageway,Urban,Car
200720D058501,Slight,24-02-2019,52.506726,Daylight,Birmingham,-1.880922,1,3,Dry,Single carriageway,Urban,Car
200720D058601,Slight,22-01-2019,52.487709,Darkness - lights lit,Birmingham,-1.840032,1,2,Dry,Single carriageway,Urban,Car
200720D058701,Slight,13-02-2019,52.490094,Daylight,Birmingham,-1.880525,2,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720D058801,Slight,26-02-2019,52.490959,Darkness - lights lit,Birmingham,-1.850625,3,3,Wet or damp,Single carriageway,Urban,Car
200720D058901,Serious,24-02-2019,52.498252,Darkness - lights lit,Birmingham,-1.860027,1,2,Dry,Dual carriageway,Urban,Motorcycle 50cc and under
200720D059101,Slight,23-02-2019,52.485898,Darkness - lights lit,Birmingham,-1.830761,1,2,Wet or damp,Single carriageway,Urban,Car
200720D059201,Slight,23-02-2019,52.525107,Daylight,Birmingham,-1.839749,2,3,Dry,Dual carriageway,Urban,Bus or coach (17 or more pass seats)
200720D059501,Slight,25-02-2019,52.506126,Daylight,Birmingham,-1.831125,3,2,Dry,Roundabout,Urban,Car
200720D060102,Slight,16-01-2019,52.590266,Daylight,Birmingham,-1.826374,1,2,Wet or damp,Single carriageway,Urban,Car
200720D060202,Slight,01-02-2019,52.566595,Daylight,Birmingham,-1.808616,2,2,Dry,Single carriageway,Urban,Car
200720D060302,Slight,06-02-2019,52.543309,Daylight,Birmingham,-1.874925,1,4,Dry,Single carriageway,Urban,Car
200720D060802,Slight,06-02-2019,52.520801,Darkness - lights lit,Birmingham,-1.788034,1,1,Wet or damp,Single carriageway,Urban,Car
200720D061203,Slight,23-02-2019,52.487486,Daylight,Birmingham,-1.811021,1,1,Wet or damp,One way street,Urban,Car
200720D061501,Slight,26-02-2019,52.503379,Daylight,Birmingham,-1.861926,2,2,Dry,Single carriageway,Urban,Car
200720D061703,Slight,20-02-2019,52.476372,Darkness - lights lit,Birmingham,-1.833153,1,1,Wet or damp,Single carriageway,Urban,Car
200720D061803,Slight,23-02-2019,52.457976,Darkness - lights lit,Birmingham,-1.79746,1,1,Wet or damp,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D061903,Serious,13-02-2019,52.452379,Daylight,Birmingham,-1.784684,1,1,Dry,Dual carriageway,Urban,Car
200720D062303,Slight,13-02-2019,52.480046,Darkness - lights lit,Birmingham,-1.825188,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D062403,Slight,19-02-2019,52.479074,Darkness - lights lit,Birmingham,-1.78102,1,1,Wet or damp,Single carriageway,Urban,Motorcycle over 500cc
200720D062802,Slight,09-02-2019,52.517764,Daylight,Birmingham,-1.799544,1,1,Wet or damp,Dual carriageway,Urban,Car
200720D062902,Slight,15-02-2019,52.545314,Darkness - lights lit,Birmingham,-1.903674,1,1,Dry,Single carriageway,Urban,Car
200720D063201,Slight,28-02-2019,52.515754,Daylight,Birmingham,-1.83713,2,2,Dry,Single carriageway,Urban,Motorcycle over 500cc
200720D063603,Slight,02-02-2019,52.475925,Daylight,Birmingham,-1.780152,1,2,Dry,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D063703,Slight,20-02-2019,52.478212,Darkness - lights lit,Birmingham,-1.866128,1,2,Wet or damp,Single carriageway,Urban,Car
200720D063902,Slight,17-02-2019,52.528586,Darkness - lights lit,Birmingham,-1.896046,1,2,Dry,Dual carriageway,Urban,Car
200720D064103,Slight,26-02-2019,52.463426,Daylight,Birmingham,-1.833202,1,3,Dry,Single carriageway,Urban,Car
200720D064601,Slight,01-03-2019,52.519114,Daylight,Birmingham,-1.863498,2,3,Dry,Single carriageway,Urban,Car
